City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Vaini,-21.2,-175.2,73.56,78,20,8.05,TO,2022-08-31 20:04:11
1,Atuona,-9.8,-139.0333,76.96,71,10,24.56,PF,2022-08-31 20:13:05
2,Mataura,-46.1927,168.8643,44.82,92,57,2.08,NZ,2022-08-31 20:13:52
3,Albany,42.6001,-73.9662,78.94,51,19,13.13,US,2022-08-31 20:13:26
4,Mokshan,53.4365,44.6132,65.46,56,46,7.9,RU,2022-08-31 20:13:52
5,Porosozero,62.7191,32.727,44.49,76,100,13.82,RU,2022-08-31 20:13:53
6,Ushuaia,-54.8,-68.3,47.82,66,75,6.91,AR,2022-08-31 20:09:19
7,Batagay-Alyta,67.8006,130.4114,44.87,82,100,4.59,RU,2022-08-31 20:13:53
8,Punta Arenas,-53.15,-70.9167,46.51,71,100,8.05,CL,2022-08-31 20:13:54
9,Clinton,42.587,-82.9199,83.97,50,40,10.36,US,2022-08-31 20:13:54
10,Hofn,64.2539,-15.2082,53.71,96,100,21.68,IS,2022-08-31 20:13:17
11,Cape Town,-33.9258,18.4232,67.37,40,0,3.44,ZA,2022-08-31 20:13:55
12,Paracuru,-3.41,-39.0306,80.11,65,7,13.73,BR,2022-08-31 20:13:55
13,Sadiqabad,28.3062,70.1307,87.66,55,3,10.65,PK,2022-08-31 20:13:55
14,Alice Springs,-23.7,133.8833,54.95,94,100,0.0,AU,2022-08-31 20:09:57
15,Georgiyevka,43.0369,74.7114,60.84,59,0,6.71,KZ,2022-08-31 20:13:56
16,Hasaki,35.7333,140.8333,79.29,89,33,18.77,JP,2022-08-31 20:09:27
17,Busselton,-33.65,115.3333,47.53,79,0,10.25,AU,2022-08-31 20:13:56
18,Hualmay,-11.0964,-77.6139,65.95,70,7,13.09,PE,2022-08-31 20:13:57
19,Banda Aceh,5.5577,95.3222,79.47,79,99,8.88,ID,2022-08-31 20:05:33
20,Puerto Ayora,-0.7393,-90.3518,76.96,87,90,8.99,EC,2022-08-31 20:05:26
21,Rikitea,-23.1203,-134.9692,72.99,79,2,4.54,PF,2022-08-31 20:13:58
22,Hamilton,39.1834,-84.5333,84.94,47,40,8.05,US,2022-08-31 20:05:34
23,Omsukchan,62.5333,155.8,43.23,66,62,3.11,RU,2022-08-31 20:13:58
24,Lata,40.1629,-8.3327,59.72,91,5,2.86,PT,2022-08-31 20:04:43
25,Nuristan,35.3,70.8333,45.12,61,0,5.37,AF,2022-08-31 20:13:59
26,Bahia Blanca,-38.7196,-62.2724,68.83,32,100,9.48,AR,2022-08-31 20:13:59
27,Kapaa,22.0752,-159.319,82.72,65,20,13.8,US,2022-08-31 20:06:07
28,Provideniya,64.3833,-173.3,46.67,98,100,7.31,RU,2022-08-31 20:04:14
29,Aranos,-24.1333,19.1167,73.54,21,95,11.9,NA,2022-08-31 20:14:00
30,Katherine,-14.4667,132.2667,71.92,73,0,5.75,AU,2022-08-31 20:14:00
31,Atar,20.5169,-13.0499,93.33,42,33,10.04,MR,2022-08-31 20:14:00
32,Kapustin Yar,48.5831,45.7372,80.89,24,1,4.9,RU,2022-08-31 20:14:01
