City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Atuona,-9.8,-139.0333,76.96,71,10,24.56,PF,2022-08-31 20:28:05
1,Touros,-5.1989,-35.4608,77.5,73,73,21.0,BR,2022-08-31 20:29:21
2,Rocha,-34.4833,-54.3333,62.91,75,100,6.15,UY,2022-08-31 20:23:09
3,Mataura,-46.1927,168.8643,44.82,92,57,2.08,NZ,2022-08-31 20:29:22
4,Bredasdorp,-34.5322,20.0403,52.2,72,9,8.14,ZA,2022-08-31 20:24:34
5,Victoria,22.2855,114.1577,85.32,86,8,4.0,HK,2022-08-31 20:26:11
6,Talnakh,69.4865,88.3972,36.21,85,14,2.46,RU,2022-08-31 20:29:22
7,Butaritari,3.0707,172.7902,81.97,78,7,20.33,KI,2022-08-31 20:29:22
8,Qaanaaq,77.484,-69.3632,35.33,66,0,3.42,GL,2022-08-31 20:24:28
9,Pacific Grove,36.6177,-121.9166,80.55,79,0,13.0,US,2022-08-31 20:29:23
10,Kapaa,22.0752,-159.319,83.1,65,20,13.8,US,2022-08-31 20:29:23
11,Punta Arenas,-53.15,-70.9167,46.51,71,100,8.05,CL,2022-08-31 20:29:24
12,Ambunti,-4.2365,142.8448,72.39,99,43,1.34,PG,2022-08-31 20:29:24
13,Rikitea,-23.1203,-134.9692,72.99,79,2,4.54,PF,2022-08-31 20:29:24
14,Hermanus,-34.4187,19.2345,56.66,54,10,14.81,ZA,2022-08-31 20:29:25
15,Cherskiy,68.75,161.3,37.56,87,100,4.21,RU,2022-08-31 20:29:25
16,Albany,42.6001,-73.9662,78.17,51,19,13.13,US,2022-08-31 20:27:41
17,Sitka,57.0531,-135.33,58.89,82,20,5.75,US,2022-08-31 20:25:44
18,East London,-33.0153,27.9116,58.51,64,0,15.48,ZA,2022-08-31 20:29:26
19,Busselton,-33.65,115.3333,47.53,79,0,10.25,AU,2022-08-31 20:29:26
20,Rafaela,-31.2503,-61.4867,82.0,28,5,4.0,AR,2022-08-31 20:29:27
21,Bluff,-46.6,168.3333,51.69,90,100,6.08,NZ,2022-08-31 20:29:27
22,Saskylakh,71.9167,114.0833,39.72,96,100,12.86,RU,2022-08-31 20:26:54
23,Ilulissat,69.2167,-51.1,39.22,87,75,8.05,GL,2022-08-31 20:29:28
24,Lebu,-37.6167,-73.65,53.29,78,5,10.27,CL,2022-08-31 20:29:28
25,Bandarbeyla,9.4942,50.8122,76.86,81,99,23.06,SO,2022-08-31 20:29:28
26,Stykkisholmur,65.0757,-22.7297,46.38,88,89,18.01,IS,2022-08-31 20:29:29
27,Bose,45.4612,8.0137,71.19,93,100,5.21,IT,2022-08-31 20:29:29
28,Georgetown,5.4112,100.3354,82.89,90,20,4.61,MY,2022-08-31 20:29:30
29,Leningradskiy,69.3833,178.4167,33.37,99,100,14.83,RU,2022-08-31 20:29:17
30,Torbay,47.6666,-52.7314,77.88,72,75,12.66,CA,2022-08-31 20:29:30
31,Tumarbong,10.3766,119.4579,78.8,88,99,3.29,PH,2022-08-31 20:29:31
32,Jamestown,42.097,-79.2353,75.94,39,75,19.57,US,2022-08-31 20:29:31
